位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选全明星
2,1.93,99,34,10,69,18.6,7.127,2,0
3,2.03,102,28,2,81,25.7,15.11,2,0
5,2.08,107,29,8,28,15.95,8.286,1,0
4,2.06,107,25,5,82,31.28,17.842,4,0
4,2.08,104,20,0,82,21.25,10.912,3,0
5,2.11,113,29,4,45,10.77,2.977,1,0
1,1.91,91,33,11,50,16.08,6.64,2,1
2,1.93,90,27,3,76,26.12,12.287,1,0
2,1.93,97,22,0,73,22.5,10.07,2,0
5,2.13,111,39,18,54,26.37,15.759,6,0
3,1.96,100,27,5,76,25.48,8.894,2,0
5,2.13,118,32,11,27,21.6,6.745,6,0
4,2.06,107,31,8,69,22.22,10.424,2,0
5,2.08,108,23,1,42,13.28,5.12,2,0
5,2.16,120,20,0,38,16.0,9.259,3,0
5,2.13,112,21,0,54,11.6,4.282,1,0
1,1.83,86,35,12,75,27.25,14.293,2,0
5,2.11,109,27,3,82,32.35,13.877,7,0
4,1.98,91,24,1,53,30.45,12.793,3,0
2,1.91,84,31,11,74,26.98,11.699,3,0
1,1.83,79,32,11,61,31.48,27.33,5,1
5,2.16,125,31,6,54,20.43,9.226,2,0
1,1.83,91,26,3,39,15.17,5.589,1,0
1,1.85,79,29,9,69,33.2,26.785,4,1
5,2.13,120,28,4,77,32.63,20.74,12,0
4,2.08,102,29,1,65,18.3,7.415,2,0
3,2.01,88,24,0,54,9.65,3.65,1,0
4,2.08,104,23,0,68,11.9,3.078,2,0
2,1.98,97,26,5,42,15.53,7.454,2,0
3,2.06,86,20,0,79,28.85,11.471,3,0
1,1.83,73,32,8,65,13.73,6.873,0,0
4,2.03,100,24,0,81,20.27,5.147,2,0
4,2.11,108,20,0,36,6.6,1.666,1,0
3,1.98,93,25,3,79,27.25,16.774,2,0
5,2.06,111,32,7,78,25.48,13.786,4,0
5,2.16,109,20,0,22,16.13,7.549,2,0
4,2.03,107,24,3,23,11.48,6.522,2,0
5,2.11,113,35,14,67,17.87,11.06,2,0
5,2.18,107,31,1,73,12.38,4.112,2,0
3,1.93,98,25,4,46,30.08,20.198,2,0
2,1.91,86,26,3,80,34.93,26.522,2,0
5,2.08,104,30,9,22,17.32,8.133,2,0
4,2.08,104,28,5,34,19.83,7.798,2,0
3,2.01,95,25,3,79,30.07,8.61,5,0
2,1.98,93,24,1,39,9.77,4.106,0,0
3,1.98,92,21,1,41,11.18,4.021,1,0
1,1.91,79,31,4,68,22.3,12.849,2,0
5,2.11,111,27,2,71,14.52,6.636,2,0
4,2.06,102,26,3,67,31.65,15.422,7,0
2,1.96,95,31,9,39,17.85,9.364,2,0
2,1.91,84,34,12,65,16.72,8.812,1,0
5,2.06,113,25,2,67,16.27,8.302,2,0
5,2.03,118,24,1,47,15.05,9.849,4,0
5,2.08,131,32,12,66,14.1,9.974,3,0
2,1.85,78,31,4,41,10.15,4.728,0,0
4,2.01,109,26,4,38,14.67,6.314,2,0
5,2.06,121,25,1,66,15.75,6.396,2,0
1,1.83,83,29,8,78,19.72,10.579,1,0
1,1.96,89,20,0,22,7.48,4.27,0,0
